,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_random_state,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_bootstrap,params,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall
0,0.3399513721466064,0.031521382662734104,0.031156301498413086,0.009345707440886005,295471,500,20,7,0.5,20,True,"{'random_state': 295471, 'n_estimators': 500, 'min_samples_split': 20, 'min_samples_leaf': 7, 'max_features': 0.5, 'max_depth': 20, 'bootstrap': True}",0.9309764309764309,0.9153439153439153,0.9135802469135803,0.9047619047619048,0.9259259259259259,0.9181176847843513,0.009305643263150436,30,0.8518518518518519,0.9629629629629629,0.9259259259259259,0.7777777777777778,0.9259259259259259,0.888888888888889,0.06625386599999376,34
1,0.06966476440429688,0.015290336240058747,0.007568836212158203,0.001438390767965182,295471,100,10,10,0.75,20,False,"{'random_state': 295471, 'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 10, 'max_features': 0.75, 'max_depth': 20, 'bootstrap': False}",0.8888888888888888,0.91005291005291,0.8977072310405643,0.8844797178130511,0.8853615520282188,0.8932980599647266,0.009595393656956192,85,0.8518518518518519,0.9629629629629629,0.9259259259259259,0.7407407407407407,0.8148148148148148,0.8592592592592594,0.07908946853356527,89
2,0.05773344039916992,0.00445557043160296,0.010047531127929688,0.005249042439911512,295471,100,20,10,0.75,20,False,"{'random_state': 295471, 'n_estimators': 100, 'min_samples_split': 20, 'min_samples_leaf': 10, 'max_features': 0.75, 'max_depth': 20, 'bootstrap': False}",0.8888888888888888,0.91005291005291,0.8977072310405643,0.8844797178130511,0.8853615520282188,0.8932980599647266,0.009595393656956192,85,0.8518518518518519,0.9629629629629629,0.9259259259259259,0.7407407407407407,0.8148148148148148,0.8592592592592594,0.07908946853356527,89
3,0.005625343322753907,0.0015075881545629206,0.003177452087402344,0.0015600791524947853,295471,10,20,10,0.25,25,False,"{'random_state': 295471, 'n_estimators': 10, 'min_samples_split': 20, 'min_samples_leaf': 10, 'max_features': 0.25, 'max_depth': 25, 'bootstrap': False}",0.9309764309764309,0.9400352733686066,0.908289241622575,0.8880070546737213,0.9188712522045855,0.917235850569184,0.01814197392549159,32,0.8518518518518519,0.9259259259259259,0.9259259259259259,0.7037037037037037,0.9259259259259259,0.8666666666666666,0.08638447251622666,81
4,0.009311723709106445,0.0030528858655493566,0.0059051990509033205,0.0022980594860398723,295471,10,10,7,0.75,20,False,"{'random_state': 295471, 'n_estimators': 10, 'min_samples_split': 10, 'min_samples_leaf': 7, 'max_features': 0.75, 'max_depth': 20, 'bootstrap': False}",0.8838383838383839,0.8791887125220459,0.8765432098765432,0.8615520282186949,0.8527336860670194,0.8707712041045376,0.01170698036007091,99,0.8518518518518519,0.9259259259259259,0.8888888888888888,0.7037037037037037,0.8518518518518519,0.8444444444444444,0.0755410298310042,99
5,0.6595598697662354,0.021135043860683496,0.05542283058166504,0.005471196147506862,295471,1000,10,5,0.25,10,True,"{'random_state': 295471, 'n_estimators': 1000, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_features': 0.25, 'max_depth': 10, 'bootstrap': True}",0.9309764309764309,0.9206349206349206,0.908289241622575,0.908289241622575,0.9312169312169313,0.9198813532146864,0.010207037232898708,23,0.9259259259259259,0.9629629629629629,0.9259259259259259,0.8148148148148148,0.9629629629629629,0.9185185185185185,0.05443310539518174,1
6,0.4832366943359375,0.01054302312470836,0.05495619773864746,0.007929534564955638,295471,1000,10,10,0.25,20,False,"{'random_state': 295471, 'n_estimators': 1000, 'min_samples_split': 10, 'min_samples_leaf': 10, 'max_features': 0.25, 'max_depth': 20, 'bootstrap': False}",0.9377104377104377,0.9188712522045855,0.9171075837742504,0.9118165784832452,0.9294532627865961,0.922991822991823,0.009326063350259347,12,0.8518518518518519,0.9629629629629629,0.9259259259259259,0.8148148148148148,0.9629629629629629,0.9037037037037038,0.060178062256562664,14
7,0.4989913463592529,0.02422985439558413,0.060725164413452146,0.004531458532717356,295471,1000,10,7,0.25,10,False,"{'random_state': 295471, 'n_estimators': 1000, 'min_samples_split': 10, 'min_samples_leaf': 7, 'max_features': 0.25, 'max_depth': 10, 'bootstrap': False}",0.936026936026936,0.9171075837742505,0.908289241622575,0.9100529100529101,0.9276895943562611,0.9198332531665866,0.010585896741003855,24,0.9259259259259259,0.9629629629629629,0.9259259259259259,0.8148148148148148,0.9629629629629629,0.9185185185185185,0.05443310539518174,1
8,0.35114116668701173,0.030341974829143754,0.03166375160217285,0.007725073816338861,295471,500,20,7,0.75,20,True,"{'random_state': 295471, 'n_estimators': 500, 'min_samples_split': 20, 'min_samples_leaf': 7, 'max_features': 0.75, 'max_depth': 20, 'bootstrap': True}",0.9242424242424243,0.9135802469135803,0.9118165784832452,0.8941798941798942,0.9276895943562611,0.914301747635081,0.01174425056542963,44,0.8518518518518519,0.9629629629629629,0.9259259259259259,0.7777777777777778,0.9629629629629629,0.8962962962962964,0.07181747936913077,23
9,0.0072190284729003905,0.0020874222543513475,0.0039016246795654298,0.001585931489524039,295471,10,10,5,0.25,5,False,"{'random_state': 295471, 'n_estimators': 10, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_features': 0.25, 'max_depth': 5, 'bootstrap': False}",0.9343434343434344,0.9241622574955908,0.9153439153439153,0.8941798941798941,0.9171075837742505,0.9170274170274171,0.013233293687428208,35,0.9259259259259259,0.9259259259259259,0.8888888888888888,0.7407407407407407,0.9629629629629629,0.8888888888888887,0.07768954430890013,52
