,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_random_state,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_bootstrap,params,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall
0,0.13643484115600585,0.0027058981394412615,0.029720497131347657,0.0007462764680506455,594436,100,20,7,0.25,5,False,"{'random_state': 594436, 'n_estimators': 100, 'min_samples_split': 20, 'min_samples_leaf': 7, 'max_features': 0.25, 'max_depth': 5, 'bootstrap': False}",0.7676767676767677,0.8518518518518519,0.9195804195804196,0.9370629370629371,0.9458041958041958,0.8843952343952346,0.06703016771963408,20,0.7037037037037037,0.8518518518518519,1.0,0.9230769230769231,0.8846153846153846,0.8726495726495728,0.09785650872345193,12
1,0.9855635166168213,0.03568966308900265,0.11888179779052735,0.0061930740567392225,594436,500,10,5,0.75,10,True,"{'random_state': 594436, 'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_features': 0.75, 'max_depth': 10, 'bootstrap': True}",0.7441077441077442,0.8430335097001763,0.8828671328671328,0.9020979020979021,0.9370629370629371,0.8618338451671785,0.06623578673765121,53,0.7777777777777778,0.8148148148148148,0.9230769230769231,0.8461538461538461,0.9615384615384616,0.8646723646723646,0.06807865040084629,32
2,1.8400186538696288,0.037165681533087934,0.22627520561218262,0.006460560036810715,594436,1000,20,5,0.5,25,True,"{'random_state': 594436, 'n_estimators': 1000, 'min_samples_split': 20, 'min_samples_leaf': 5, 'max_features': 0.5, 'max_depth': 25, 'bootstrap': True}",0.7424242424242424,0.8447971781305115,0.9090909090909092,0.9178321678321678,0.9423076923076923,0.8712904379571047,0.07203727898879891,37,0.7777777777777778,0.8148148148148148,0.9615384615384616,0.8846153846153846,0.8846153846153846,0.8646723646723646,0.06358448446019899,32
3,0.7583718299865723,0.030834570597091417,0.12107582092285156,0.007179978177492729,594436,500,20,5,0.5,5,False,"{'random_state': 594436, 'n_estimators': 500, 'min_samples_split': 20, 'min_samples_leaf': 5, 'max_features': 0.5, 'max_depth': 5, 'bootstrap': False}",0.7390572390572391,0.8518518518518519,0.8828671328671328,0.8828671328671329,0.9353146853146853,0.8583916083916083,0.06541975615981545,58,0.7777777777777778,0.8148148148148148,0.9230769230769231,0.8461538461538461,0.8461538461538461,0.8415954415954416,0.04789715255536756,63
4,0.6998712062835694,0.05709698382563966,0.12385120391845703,0.009609833215606794,594436,500,20,7,0.25,20,False,"{'random_state': 594436, 'n_estimators': 500, 'min_samples_split': 20, 'min_samples_leaf': 7, 'max_features': 0.25, 'max_depth': 20, 'bootstrap': False}",0.7643097643097643,0.8641975308641976,0.9195804195804196,0.9388111888111887,0.9475524475524476,0.8868902702236037,0.06780157558634228,7,0.7037037037037037,0.8148148148148148,0.9615384615384616,0.8846153846153846,0.8846153846153846,0.8498575498575498,0.08657687937645124,54
5,1.4477646827697754,0.03792150722305194,0.24056072235107423,0.012048460343267045,594436,1000,10,10,0.75,5,False,"{'random_state': 594436, 'n_estimators': 1000, 'min_samples_split': 10, 'min_samples_leaf': 10, 'max_features': 0.75, 'max_depth': 5, 'bootstrap': False}",0.7289562289562289,0.8165784832451499,0.8391608391608392,0.8531468531468531,0.9108391608391608,0.8297363130696465,0.0592356325781586,94,0.7037037037037037,0.7777777777777778,0.9230769230769231,0.7307692307692307,0.8461538461538461,0.7962962962962963,0.07971100633214155,91
6,0.024135351181030273,0.0031789537932019937,0.010571765899658202,0.0016204228441505017,594436,10,20,10,0.75,25,True,"{'random_state': 594436, 'n_estimators': 10, 'min_samples_split': 20, 'min_samples_leaf': 10, 'max_features': 0.75, 'max_depth': 25, 'bootstrap': True}",0.7112794612794613,0.8536155202821869,0.798951048951049,0.9082167832167832,0.9073426573426573,0.8358810942144276,0.07422009424588946,78,0.7407407407407407,0.7777777777777778,0.8846153846153846,0.8846153846153846,0.9230769230769231,0.8421652421652421,0.07011904784790526,58
7,1.4870322704315186,0.034739190082501696,0.2304922103881836,0.008238580673747544,594436,1000,20,5,0.75,20,False,"{'random_state': 594436, 'n_estimators': 1000, 'min_samples_split': 20, 'min_samples_leaf': 5, 'max_features': 0.75, 'max_depth': 20, 'bootstrap': False}",0.7255892255892256,0.8253968253968255,0.8146853146853147,0.8374125874125874,0.9020979020979021,0.8210363710363711,0.05658384810854183,98,0.7407407407407407,0.7777777777777778,0.9230769230769231,0.7692307692307693,0.8461538461538461,0.8113960113960113,0.06569778331232455,85
8,1.7463621139526366,0.038430922613800024,0.22740139961242675,0.008052423964137813,594436,1000,20,7,0.25,10,True,"{'random_state': 594436, 'n_estimators': 1000, 'min_samples_split': 20, 'min_samples_leaf': 7, 'max_features': 0.25, 'max_depth': 10, 'bootstrap': True}",0.7676767676767677,0.8571428571428571,0.9178321678321678,0.9388111888111887,0.9493006993006994,0.8861527361527362,0.06729382210000749,13,0.7777777777777778,0.8148148148148148,1.0,0.9615384615384616,0.8846153846153846,0.8877492877492876,0.08422357896192381,4
9,1.8104237079620362,0.028411193665675065,0.22201852798461913,0.008039899481087055,594436,1000,10,10,0.75,5,True,"{'random_state': 594436, 'n_estimators': 1000, 'min_samples_split': 10, 'min_samples_leaf': 10, 'max_features': 0.75, 'max_depth': 5, 'bootstrap': True}",0.7272727272727273,0.8465608465608466,0.8706293706293706,0.8968531468531469,0.9493006993006993,0.8581233581233582,0.07379062771878982,59,0.7777777777777778,0.7777777777777778,0.8846153846153846,0.9615384615384616,0.8846153846153846,0.8572649572649574,0.07071842596047044,43
